"","",LIBELLE,"",IMP,NB
33358,SKI_DE_FOND_SPORTIF,Dario Cologna,1500000000372466,75,2
7000000000009401,CYCLISME_SPORTIF,Matthew Goss,293847,75,1
32277,PATINAGE_DE_VITESSE_SPORTIF,Alexis Contin,873936,74,2
9000000000003384,BASKET_SPORTIF,Ricky Rubio,1271389,74,1
1043,BASKET_SPORTIF,Vince Carter,1500000000611684,73,1
34673,FOOTBALL_SPORTIF,Sandro,300039,72,1
22979,PATINAGE_ARTISTIQUE_SPORTIF,Evgeni Plushenko,1500000000370599,71,5
6542,RUGBY_SPORTIF,Michael Hooper,20181994,68,2
6500000000003397,BASKET_SPORTIF,Rudy Fernandez,1271418,68,1
33371,FOOTBALL_SPORTIF,Yassine Jebbour,297281,67,1
15711,FOOTBALL_SPORTIF,Bob Wilson,1243292,67,1
61574,FOOTBALL_SPORTIF,Clément Michelin,1273994,67,1
5875,BASKET_SPORTIF,Bradley Beal,1270865,66,2
1222,BASKET_SPORTIF,Edwige Lawson,1500000000179226,66,1
22894,FOOTBALL_SPORTIF,Micah Richards,295845,66,1
7500000000025718,PATINAGE_DE_VITESSE_SPORTIF,Sven Kramer,1500000000372781,66,1
39890,FOOTBALL_SPORTIF,Leandro Damiao,304497,66,10
41354,FOOTBALL_SPORTIF,Sandrine Soubeyrand,304960,65,6
20146,FOOTBALL_SPORTIF,Houssine Kharja,297281,64,2
262,JUDO_SPORTIF,David Douillet,1500000000813882,64,4
4358,TENNIS_SPORTIF,Saisai Zheng,1272894,63,1
7643,FOOTBALL_SPORTIF,Craig Bellamy,301796,62,8
32711,BIATHLON_SPORTIF,Jean-Guillaume Beatrix,442627,62,1
4000000000009433,CYCLISME_SPORTIF,Nicolas Roche,1267428,61,1
5559,BASKET_SPORTIF,Isaiah Thomas,693331,59,1
7500000000025184,SHORT_TRACK_SPORTIF,Thibault Fauconnet,10089500,58,1
1553,BASKET_SPORTIF,Yakhouba Diawara,1500000000166492,57,1
164,CYCLISME_SPORTIF,David Millar,290998,57,1
26261,FOOTBALL_SPORTIF,Scott Sinclair,302022,54,3
47802,FOOTBALL_SPORTIF,Manuel Lanzini,710189,53,2
7139,BASKET_SPORTIF,Zach Lavine,1271587,52,2
32853,BIATHLON_SPORTIF,Anastazia Kuzmina,439833,52,1
6179,BASKET_SPORTIF,Valériane Vukosavljevic,715027,51,1
4000000000003250,BASKET_SPORTIF,Emmeline Ndongue,1500000000179496,51,2
41599,FOOTBALL_SPORTIF,Oribe Peralta,305453,49,1
17593,CYCLISME_SUR_PISTE_SPORTIF,Severino Angella,303111,48,1
35352,FOOTBALL_SPORTIF,Nicolas Lodeiro,301200,48,2
38199,FOOTBALL_SPORTIF,Gaston Ramirez,301200,47,4
5411,TENNIS_SPORTIF,Viktorija Golubic,1273176,45,1
566,BASKET_SPORTIF,Andrei Kirilenko,1500000000178896,44,1
37138,CANOE-KAYAK_SPORTIF,Boris Neveu,1424900,43,2
242,NATATION_SPORTIF,Pieter Van Den Hoogenband,1500000000370220,43,1
439,FORMULE_1_SPORTIF,Emanuele Pirro,1272170,42,2
20000000000000000000013074,FOOTBALL_SPORTIF,Philippe Bergeroo,1500000000727001,42,3
4063,BASKET_SPORTIF,DeAndre Jordan,1500000000733352,42,1
7238,BASKET_SPORTIF,Olivia Epoupa,1500000000734504,41,5
32718,BIATHLON_SPORTIF,Vincent Jay,3000000000080594,41,2
40460,FOOTBALL_SPORTIF,Norberto Murara Neto,300679,40,2
12500000000031079,VOILE_SPORTIF,Marie RIOU,715189,40,2
5995,BASKET_SPORTIF,Khris Middleton,1272101,39,1
12500000000051688,VOILE_SPORTIF,Billy BESSON,715189,38,3
627,BASKET_SPORTIF,Antoine Rigaudeau,574901,37,1
66,SKI_SPORTIF,Didier Défago,439718,36,1
9857,CANOE-KAYAK_SPORTIF,Wilfrid Forgues,1235096,35,1
4772,BASKET_SPORTIF,Jrue Holiday,20145183,35,2
24956,GYMNASTIQUE_SPORTIF,Thomas Bouhail,255488,35,1
7000000000024259,ESCRIME_SPORTIF,Astrid Guyart,1223895,34,1
35667,FOOTBALL_SPORTIF,Ibrahima Baldé,279213,32,1
2681,BASKET_SPORTIF,Luis Scola,1500000000180204,32,2
47575,FOOTBALL_SPORTIF,Sabrina Delannoy,712215,32,2
35492,FOOTBALL_SPORTIF,Zakarya Bergdich,301105,31,3
9095,CYCLISME_SPORTIF,Simon Clarke,709181,30,1
22489,FOOTBALL_SPORTIF,Cafu,54935,29,1
31362,ESCRIME_SPORTIF,Brice Guyart,1171958,28,3
1500000000023829,SAUT_A_SKIS_SPORTIF,Thomas Morgenstern,434563,27,1
41263,FOOTBALL_SPORTIF,Corine Petit,301451,27,2
5958,BASKET_SPORTIF,Yannis Morin,708261,27,1
28768,FOOTBALL_SPORTIF,Mohamed Aboutrika,302750,25,3
949,BASKET_SPORTIF,Scottie Pippen,1500000000374356,25,1
175,BASKET_SPORTIF,Laurent Sciarra,2500000000055988,24,2
1331,BASKET_SPORTIF,Sarunas Jasikevicius,1500000000178007,23,1
6500000000023842,JUDO_SPORTIF,Matthieu Bataille,1232829,22,1
7500000000025171,SNOWBOARD_SPORTIF,Sophie Rodriguez,440690,21,1
13991,TAEKWONDO_SPORTIF,Pascal Gentil,1171958,21,1
245000000000000000000023402,FOOTBALL_SPORTIF,Magaye Gueye,296973,20,1
8500000000003248,BASKET_SPORTIF,Patrick Mills,1272005,20,1
136,BASKET_SPORTIF,Frédéric Weis,1500000000611684,19,1
35975,FOOTBALL_SPORTIF,Zakaria Labyad,300833,17,1
12500000000059853,TRIATHLON_SPORTIF,Dorian Coninx,20182971,17,1
9379,CYCLISME_SPORTIF,Jason Kenny,717933,16,1
4737,BASKET_SPORTIF,Jan Vesely,1273650,16,1
29558,FOOTBALL_SPORTIF,Yassine El-Kharroubi,292929,15,1
12500000000051675,VOILE_SPORTIF,Thomas GOYARD,1274948,14,4
6500000000023924,VOILE_SPORTIF,BONTEMPS Julien,1500000000177103,14,2
35714,FOOTBALL_SPORTIF,Alexander N'Doumbou,273176,14,1
25427,ESCRIME_SPORTIF,Olga Kharlan,1410511,14,1
43187,FOOTBALL_SPORTIF,Rômulo,304497,13,3
12500000000049713,VOILE_SPORTIF,Pierre LE COQ,717028,13,2
33201,FOOTBALL_SPORTIF,Chris Wood,301876,13,3
8500000000003359,BASKET_SPORTIF,Diana Taurasi,1264872,13,1
20929,PATINAGE_ARTISTIQUE_SPORTIF,Katarina Witt,1500000000370847,12,2
7500000000025180,SHORT_TRACK_SPORTIF,Véronique Pierron,441622,11,2
13500000000084301,TRIATHLON_SPORTIF,Léo Bergère,1403818,10,1
4728,BASKET_SPORTIF,Aron Baynes,1274449,10,1
10530,CYCLISME_SPORTIF,Elizabeth Armitstead-Deignan,1500000000729232,9,2
6500000000023827,CYCLISME_SUR_PISTE_SPORTIF,François Pervis,621669,9,1
11500000000003301,BASKET_SPORTIF,Jianlian Yi,1500000000735070,9,1
4122,BASKET_SPORTIF,Florence Lepron,1500000000178217,9,2
9861,TENNIS_DE_TABLE_SPORTIF,Jean-Philippe Gatien,1171958,8,1
1121,SKI_SPORTIF,Daniela Merighetti,438571,8,1
5160,BASKET_SPORTIF,Greivis Vasquez,1500000000728474,7,2
4525,BASKET_SPORTIF,Sarah Michel,1500000000728493,7,2
1229,BASKET_SPORTIF,Yannick Souvre,713092,7,1
4580,BASKET_SPORTIF,Amel Bouderra,713786,7,1
181,SKI_SPORTIF,Hermann Maier,89312,7,1
179216,RUGBY_A_7_SPORTIF,Julien Candelon,713599,6,1
41699,FOOTBALL_SPORTIF,Homare Sawa,304010,5,1
8446,NATATION_SPORTIF,Richard Pound,1500000000726128,5,2
12500000000049728,VOILE_SPORTIF,Julien D'ORTOLI,635496,4,1
12500000000061676,VOILE_SPORTIF,Hélène DEFRANCE,1500000000652118,4,2
5807,BASKET_SPORTIF,Miranda Ayim,1271466,3,1
38244,FOOTBALL_SPORTIF,Renan Bressan,301944,2,3
12500000000037663,VOILE_SPORTIF,Elliot WILLIS,641304,2,1
42071,FOOTBALL_SPORTIF,Yuki Otsu,301160,2,3
8339,EQUITATION_SPORTIF,Pierre Durand,537109,1,1
4847,BASKET_SPORTIF,Romane Bernies,1500000000719452,1,1
8479,BASKET_SPORTIF,Alexia Chartereau,20145041,-82,1
9746,BASKET_SPORTIF,Marine Fauthoux,1404441,-93,1
14208,CYCLISME_SPORTIF,Anna Kiesenhofer,20145180,-98,4
