ID;TYPE;LIBELLE;IMP;NB;URL
33201;FOOTBALL_SPORTIF;Chris Wood;13;3;https://www.lequipe.fr/Football/FootballFicheJoueur33201.html
33371;FOOTBALL_SPORTIF;Yassine Jebbour;67;1;https://www.lequipe.fr/Football/FootballFicheJoueur33371.html
33917;FOOTBALL_SPORTIF;Iker Muniain;103;3;https://www.lequipe.fr/Football/FootballFicheJoueur33917.html
3465;TENNIS_SPORTIF;Pablo Andujar;200;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur3465.html
34673;FOOTBALL_SPORTIF;Sandro;72;1;https://www.lequipe.fr/Football/FootballFicheJoueur34673.html
34728;FOOTBALL_SPORTIF;Jordi Alba;550;5;https://www.lequipe.fr/Football/FootballFicheJoueur34728.html
35352;FOOTBALL_SPORTIF;Nicolas Lodeiro;48;2;https://www.lequipe.fr/Football/FootballFicheJoueur35352.html
35492;FOOTBALL_SPORTIF;Zakarya Bergdich;31;3;https://www.lequipe.fr/Football/FootballFicheJoueur35492.html
354;RUGBY_SPORTIF;Stéphane Delpuech;122;1;https://www.lequipe.fr/Rugby/RugbyFicheJoueur354.html
35667;FOOTBALL_SPORTIF;Ibrahima Baldé;32;1;https://www.lequipe.fr/Football/FootballFicheJoueur35667.html
35677;GYMNASTIQUE_SPORTIF;Samir Ait-Said;226;3;https://www.lequipe.fr/Sport/AussiFicheAthlete35677.html
35714;FOOTBALL_SPORTIF;Alexander N'Doumbou;14;1;https://www.lequipe.fr/Football/FootballFicheJoueur35714.html
35975;FOOTBALL_SPORTIF;Zakaria Labyad;17;1;https://www.lequipe.fr/Football/FootballFicheJoueur35975.html
36094;JUDO_SPORTIF;Clarisse Agbegnenou;972;6;https://www.lequipe.fr/Judo/AussiFicheAthlete36094.html
37138;CANOE-KAYAK_SPORTIF;Boris Neveu;43;2;https://www.lequipe.fr/Sport/AussiFicheAthlete37138.html
37203;AVIRON_SPORTIF;Matthieu Androdias;94;1;https://www.lequipe.fr/Sport/AussiFicheAthlete37203.html
37798;PENTATHLON_SPORTIF;Elodie Clouvel;169;1;https://www.lequipe.fr/Sport/AussiFicheAthlete37798.html
38199;FOOTBALL_SPORTIF;Gaston Ramirez;47;4;https://www.lequipe.fr/Football/FootballFicheJoueur38199.html
38244;FOOTBALL_SPORTIF;Renan Bressan;2;3;https://www.lequipe.fr/Football/FootballFicheJoueur38244.html
38317;GOLF_SPORTIF;Hideki Matsuyama;362;1;https://www.lequipe.fr/Sport/AussiFicheAthlete38317.html
3895;FOOTBALL_SPORTIF;David Beckham;1604;5;https://www.lequipe.fr/Football/FootballFicheJoueur3895.html
3899;FOOTBALL_SPORTIF;Paul Scholes;165;1;https://www.lequipe.fr/Football/FootballFicheJoueur3899.html
3902;FOOTBALL_SPORTIF;Ryan Giggs;461;15;https://www.lequipe.fr/Football/FootballFicheJoueur3902.html
39792;FOOTBALL_SPORTIF;Neymar;17076;20;https://www.lequipe.fr/Football/FootballFicheJoueur39792.html
39890;FOOTBALL_SPORTIF;Leandro Damiao;66;10;https://www.lequipe.fr/Football/FootballFicheJoueur39890.html
39895;FOOTBALL_SPORTIF;Oscar;273;5;https://www.lequipe.fr/Football/FootballFicheJoueur39895.html
40460;FOOTBALL_SPORTIF;Norberto Murara Neto;40;2;https://www.lequipe.fr/Football/FootballFicheJoueur40460.html
4063;BASKET_SPORTIF;DeAndre Jordan;42;1;https://www.lequipe.fr/Basket/BasketFicheJoueur4063.html
40841;FOOTBALL_SPORTIF;Florian Thauvin;3755;6;https://www.lequipe.fr/Football/FootballFicheJoueur40841.html
4104;BASKET_SPORTIF;Russell Westbrook;476;3;https://www.lequipe.fr/Basket/BasketFicheJoueur4104.html
4120;BASKET_SPORTIF;Endy Miyem;86;1;https://www.lequipe.fr/Basket/BasketFicheJoueur4120.html
4122;BASKET_SPORTIF;Florence Lepron;9;2;https://www.lequipe.fr/Basket/BasketFicheJoueur4122.html
41260;FOOTBALL_SPORTIF;Wendie Renard;895;7;https://www.lequipe.fr/Football/FootballFicheJoueur41260.html
41261;FOOTBALL_SPORTIF;Laura Georges;141;5;https://www.lequipe.fr/Football/FootballFicheJoueur41261.html
41263;FOOTBALL_SPORTIF;Corine Petit;27;2;https://www.lequipe.fr/Football/FootballFicheJoueur41263.html
41264;FOOTBALL_SPORTIF;Sonia Bompastor;99;11;https://www.lequipe.fr/Football/FootballFicheJoueur41264.html
